"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
"1",0,2.25219080966408,0.421,0.118,0,Health,ALDOB
"2",0,2.2386855049556,0.521,0.179,0,Health,MT-ATP8
"3",0,2.17360694576199,0.885,0.601,0,Health,MT-ND3
"4",0,2.16904453366615,0.48,0.259,0,Health,MTRNR2L12
"5",0,1.95400241273568,0.915,0.68,0,Health,MT-ATP6
"6",0,1.77647276907075,0.317,0.065,0,Health,UGT2B7
"7",0,1.77321222487832,0.24,0.03,0,Health,CUBN
"8",0,1.7066729076171,0.469,0.205,0,Health,MT-ND6
"9",0,1.67629785742771,0.408,0.11,0,Health,GATM
"10",0,1.66216584447899,0.927,0.662,0,Health,MT-CO3
"11",0,1.65681803673868,0.439,0.209,0,Health,MTRNR2L2
"12",0,1.61788472832072,0.923,0.691,0,Health,MT-CYB
"13",0,1.5481720419033,0.711,0.413,0,Health,MT-ND4L
"14",0,1.52564687372443,0.867,0.64,0,Health,MT-ND5
"15",0,1.46571000597366,0.515,0.189,0,Health,GPX3
"16",0,1.40897940986958,0.199,0.022,0,Health,LRP2
"17",0,1.31399079468425,0.44,0.215,0,Health,MTRNR2L8
"18",0,1.30776244405063,0.903,0.727,0,Health,MT-ND1
"19",0,1.26011953125624,0.301,0.065,0,Health,ASS1
"20",0,1.25997489084011,0.931,0.709,0,Health,MT-ND2
"21",0,1.23365115933457,0.244,0.044,0,Health,BHMT
"22",0,1.22034265058947,0.2,0.028,0,Health,SLC7A8
"23",0,1.16479574889677,0.947,0.741,0,Health,MT-CO2
"24",0,1.15644222379834,0.323,0.098,0,Health,CXCL14
"25",0,1.1534637070498,0.339,0.107,0,Health,C11orf54
"26",0,1.1229629053945,0.265,0.061,0,Health,NAT8
"27",0,1.113580493062,0.263,0.061,0,Health,GSTA2
"28",0,1.09074318745871,0.286,0.078,0,Health,PCK1
"29",0,1.08879212005734,0.465,0.187,0,Health,APOE
"30",0,1.08536324236983,0.19,0.022,0,Health,SLC16A9
"31",0,1.08377604249704,0.293,0.084,0,Health,ALDH6A1
"32",0,1.08028785641595,0.246,0.058,0,Health,AQP1
"33",0,1.07363884214592,0.423,0.153,0,Health,MT1G
"34",0,1.06573233545142,0.275,0.068,0,Health,CMBL
"35",0,1.0523257193128,0.982,0.812,0,Health,MT-CO1
"36",0,1.04879627643657,0.206,0.029,0,Health,PAH
"37",0,1.03921863013802,0.54,0.22,0,Health,FXYD2
"38",0,1.02717190358268,0.418,0.157,0,Health,SEPP1
"39",0,1.02418752102673,0.334,0.1,0,Health,DAB2
"40",0,1.01174261861289,0.173,0.018,0,Health,MME
"41",0,0.997989294737162,0.218,0.035,0,Health,AK4
"42",0,0.994582073738066,0.346,0.108,0,Health,PDZK1IP1
"43",0,0.944461983122534,0.273,0.09,0,Health,FBP1
"44",0,0.941740103740668,0.16,0.015,0,Health,SLC13A3
"45",0,0.937680575963453,0.306,0.092,0,Health,GSTA1
"46",0,0.93682724742398,0.311,0.083,0,Health,MIOX
"47",0,0.931885181040797,0.363,0.136,0,Health,CRYAB
"48",0,0.920932387984186,0.211,0.035,0,Health,PBLD
"49",0,0.91208868866649,0.137,0.014,0,Health,BCYRN1
"50",0,0.912082720604313,0.197,0.032,0,Health,PTH1R
"51",0,0.908680141184765,0.309,0.101,0,Health,C19orf77
"52",0,0.907400555153171,0.165,0.021,0,Health,SLC4A4
"53",0,0.901246114534441,0.22,0.054,0,Health,SLC3A1
"54",0,0.882448724509764,0.15,0.016,0,Health,PLG
"55",0,0.861680171591051,0.381,0.155,0,Health,ACAT1
"56",0,0.859792443199706,0.952,0.796,0,Health,MT-ND4
"57",0,0.851852050940616,0.204,0.034,0,Health,BHMT2
"58",0,0.850010331606498,0.418,0.198,0,Health,ECHS1
"59",0,0.847953688582723,0.622,0.363,0,Health,PEBP1
"60",0,0.836965525852896,0.157,0.019,0,Health,SLC22A8
"61",0,0.829547058217758,0.168,0.026,0,Health,DPEP1
"62",0,0.827022316217412,0.188,0.029,0,Health,DDC
"63",0,0.824689256479976,0.281,0.084,0,Health,HRSP12
"64",0,0.817644452994487,0.166,0.023,0,Health,KCNJ15
"65",0,0.806496029209589,0.315,0.117,0,Health,PEPD
"66",0,0.797058588896419,0.175,0.042,0,Health,ALB
"67",0,0.786166222478909,0.481,0.225,0,Health,CYB5A
"68",0,0.769399447129786,0.153,0.02,0,Health,SLC5A12
"69",0,0.758319633316529,0.269,0.072,0,Health,HPD
"70",0,0.75799566160978,0.164,0.026,0,Health,ACSM2A
"71",0,0.756068817656502,0.142,0.016,0,Health,FAM151A
"72",0,0.754280539736936,0.134,0.015,0,Health,ANK2
"73",0,0.751708164937679,0.21,0.043,0,Health,GLYAT
"74",0,0.74890322079,0.156,0.018,0,Health,EHHADH
"75",0,0.742329913691392,0.241,0.067,0,Health,BBOX1
"76",0,0.727044079201742,0.272,0.077,0,Health,RBP5
"77",0,0.726403876370617,0.318,0.113,0,Health,PTMS
"78",0,0.707301409156225,0.16,0.029,0,Health,ANPEP
"79",0,0.701263092608065,0.235,0.093,0,Health,MAF
"80",0,0.695189739136701,0.268,0.078,0,Health,FABP1
"81",0,0.692703045655262,0.175,0.034,0,Health,CRYAA
"82",0,0.686401375247088,0.148,0.021,0,Health,SLC22A6
"83",0,0.683585068856166,0.421,0.217,0,Health,SUCLG1
"84",0,0.679666973655684,0.226,0.071,0,Health,MGST1
"85",0,0.679656216260326,0.161,0.028,0,Health,ACSM2B
"86",0,0.675834958373582,0.151,0.024,0,Health,THY1
"87",0,0.675179173813322,0.4,0.194,0,Health,ADI1
"88",0,0.67480260711612,0.197,0.043,0,Health,QPRT
"89",0,0.672846227293448,0.276,0.101,0,Health,MT1H
"90",0,0.669798421179557,0.19,0.04,0,Health,TMEM27
"91",0,0.667647934635341,0.117,0.007,0,Health,SLC6A19
"92",0,0.656778880102983,0.18,0.043,0,Health,RNF152
"93",0,0.656683299253753,0.17,0.03,0,Health,DPYS
"94",0,0.655447324840495,0.193,0.042,0,Health,PDZK1
"95",0,0.653536383805297,0.155,0.022,0,Health,TST
"96",0,0.652528722334714,0.102,0.006,0,Health,G6PC
"97",0,0.64868324959666,0.141,0.017,0,Health,AGXT2
"98",0,0.644783519470736,0.176,0.037,0,Health,SHMT1
"99",0,0.642943842452974,0.221,0.07,0,Health,METTL7A
"100",0,0.635004843766218,0.204,0.049,0,Health,KHK
"101",0,0.630438117316395,0.133,0.021,0,Health,KL
"102",0,0.626143320998789,0.14,0.023,0,Health,SLC13A1
"103",0,0.622051883048051,0.256,0.085,0,Health,BDH2
"104",0,0.621081229111612,0.177,0.045,0,Health,ALDH3A2
"105",0,0.609424663296191,0.16,0.03,0,Health,RAB11FIP3
"106",0,0.609331853884048,0.268,0.097,0,Health,PCSK1N
"107",0,0.608504921861655,0.239,0.083,0,Health,PGRMC1
"108",0,0.607455756908364,0.116,0.012,0,Health,ENPEP
"109",0,0.603329189389911,0.417,0.221,0,Health,MIF
"110",0,0.599446352393473,0.244,0.1,0,Health,NDRG1
"111",0,0.591017115494519,0.156,0.033,0,Health,AZGP1
"112",0,0.589413578894362,0.225,0.075,0,Health,ALDH1A1
"113",0,0.585380886917487,0.14,0.021,0,Health,ALDH4A1
"114",0,0.58421593990958,0.215,0.056,0,Health,CLIC4
"115",0,0.580886648738594,0.148,0.026,0,Health,GLYATL1
"116",0,0.579566744720915,0.168,0.034,0,Health,PRODH2
"117",0,0.569731108156258,0.237,0.082,0,Health,LGALS2
"118",0,0.56962840668889,0.573,0.376,0,Health,TMBIM6
"119",0,0.569188485941362,0.146,0.025,0,Health,AGMAT
"120",0,0.569139056097917,0.215,0.07,0,Health,IGFBP4
"121",0,0.562735833498823,0.313,0.149,0,Health,CD59
"122",0,0.557061803436727,0.235,0.099,0,Health,SH3YL1
"123",0,0.555774979271242,0.138,0.025,0,Health,SORD
"124",0,0.555434988870237,0.121,0.015,0,Health,FMO1
"125",0,0.553770130143416,0.146,0.028,0,Health,DDAH1
"126",0,0.553252187910845,0.225,0.089,0,Health,CAMK2N1
"127",0,0.552230432499286,0.494,0.305,0,Health,ST13
"128",0,0.550703571868248,0.365,0.183,0,Health,DCXR
"129",0,0.544487733891671,0.176,0.048,0,Health,APOM
"130",0,0.537555266621272,0.262,0.101,0,Health,CRYL1
"131",0,0.531138192910499,0.129,0.022,0,Health,SLC16A4
"132",0,0.529247091846645,0.139,0.03,0,Health,ACO1
"133",0,0.527872478604666,0.148,0.028,0,Health,ALDH7A1
"134",0,0.526436849405314,0.282,0.118,0,Health,MT1F
"135",0,0.525100127331934,0.117,0.02,0,Health,PRAP1
"136",0,0.523092964945141,0.213,0.074,0,Health,TMEM176A
"137",0,0.52167353118057,0.388,0.198,0,Health,ATOX1
"138",0,0.521463387632418,0.105,0.011,0,Health,NOX4
"139",0,0.520190525327408,0.176,0.058,0,Health,SLC7A7
"140",0,0.516911947828903,0.119,0.019,0,Health,SLC27A2
"141",0,0.509596382823185,0.16,0.055,0,Health,LGMN
"142",0,0.508824399609665,0.124,0.016,0,Health,GPD1
"143",0,0.508339897822257,0.269,0.121,0,Health,ACAA2
"144",0,0.507626018985025,0.285,0.181,0,Health,CD81
"145",0,0.505934529893139,0.117,0.018,0,Health,SLC22A2
"146",0,0.504664500452345,0.111,0.018,0,Health,ABAT
"147",0,0.503069881838858,0.137,0.03,0,Health,NUPR1
"148",0,0.502644457266985,0.142,0.031,0,Health,AMN
"149",0,0.497426585017331,0.257,0.106,0,Health,ECI2
"150",0,0.496648686398457,0.128,0.028,0,Health,ACADSB
